amfi_code,hhi,num_holdings,top_holding_weight_pct,top_holding_name,scheme_name,fund_house,sub_category
119092,0.20644766999999994,10,38.18,Infosys Ltd,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap
101207,0.20070043,8,35.07,Sun Pharmaceutical Industries,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap
119599,0.17475095999999998,8,28.25,Grasim Industries Ltd,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap
102885,0.17470902,9,28.95,NTPC Ltd,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index
118632,0.1682982,8,30.44,Bharti Airtel Ltd,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap
148568,0.16792973,8,28.61,State Bank of India,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap
120505,0.15757036000000002,8,23.46,Sun Pharmaceutical Industries,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap
120506,0.1537936,9,21.47,Kotak Mahindra Bank,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value
125498,0.15241398,8,22.83,HDFC Bank Ltd,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap
120841,0.14968035000000002,10,22.44,IndusInd Bank Ltd,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap
148569,0.14939642,9,25.53,Bharti Airtel Ltd,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS
100033,0.14759225999999998,9,26.07,Mahindra & Mahindra Ltd,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap
149323,0.14162096000000002,9,22.84,Cipla Ltd,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap
120503,0.14087026,8,20.69,Nestle India Ltd,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap
100016,0.13953386,10,25.9,Wipro Ltd,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap
148567,0.13858416999999998,8,22.93,Grasim Industries Ltd,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap
125497,0.13658554,8,19.04,Grasim Industries Ltd,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap
119094,0.13640591000000002,9,23.17,Hindustan Unilever Ltd,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap
118635,0.13594415,8,17.85,State Bank of India,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF
149322,0.13439797,9,18.28,Dr. Reddy's Laboratories,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap
119093,0.13089424,10,20.22,Bajaj Finance Ltd,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap
102887,0.12980494999999997,10,19.73,Cipla Ltd,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap
101206,0.12933173,10,19.02,Mahindra & Mahindra Ltd,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap
120843,0.12868306000000002,10,19.94,NTPC Ltd,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap
120842,0.12743880999999999,10,19.5,Tata Motors Ltd,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap
118633,0.12146086,11,20.73,Axis Bank Ltd,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap
119551,0.11871551999999999,10,18.22,HCL Technologies Ltd,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap
149324,0.11867710000000001,12,19.71,Bajaj Finance Ltd,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap
102886,0.11469284,11,18.99,Titan Company Ltd,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap
119095,0.10960535000000002,11,17.8,Hindustan Unilever Ltd,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap
120504,0.10867415000000001,11,17.37,Power Grid Corporation,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap
118634,0.10835772,10,13.59,Nestle India Ltd,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap
119552,0.10801068999999998,11,17.88,Tata Motors Ltd,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap
119598,0.10734895,12,16.5,Reliance Industries Ltd,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap
