amfi_code,scheme_name,fund_house,category,sub_category,var_95_pct,cvar_95_pct,n_obs
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,-2.6859435149613775,-3.238412245049213,1149
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,-2.618842440959032,-3.166729360598023,1149
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,-2.602124822106102,-3.24590589870443,1149
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,-2.5438111458963077,-3.230407269781849,1149
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,-2.450705190567708,-3.0595264108802365,1149
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,-2.3483069386777142,-3.1036252021884363,1149
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,-1.922028344426498,-2.3250860269221154,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,-1.903353586155876,-2.3455762770703745,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,-1.889178619869272,-2.4342070395519766,1149
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,-1.8480276243938238,-2.426005947837052,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,-1.8365320169600938,-2.3093793053167895,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,-1.8218530452555999,-2.272497526268083,1149
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,-1.78820762019034,-2.2606642100420284,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,-1.71181926556211,-2.1328305810328048,1149
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,-1.52316172791578,-1.941118267915865,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,-1.471153133351274,-1.8764769584230832,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,-1.45917690711404,-1.830988532805787,1149
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,-1.450794138563042,-1.8381077688017105,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,-1.44738519837927,-1.840174761273255,1149
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,-1.4388462899080838,-1.9404898602496858,1149
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,-1.4363639988111099,-1.8060207632171712,1149
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,-1.4225516634795998,-1.7486709749013012,1149
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,-1.395404587001808,-1.76185793201621,1149
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,-1.374959207636374,-1.7327870956436002,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,-1.3728193295939721,-1.749414368560656,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,-1.355977641751052,-1.7622879905822162,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,-1.355001716250344,-1.745055416552428,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,-1.350097047993506,-1.7335699664199775,1149
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,-1.3442525143024158,-1.6630178254004782,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,-1.32816619862814,-1.7439425687129153,1149
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,-1.3141782186804,-1.6362736618343314,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,-1.28462286288425,-1.639680693408757,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,-1.261262882069352,-1.5490405253112067,1149
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,-1.255369728475462,-1.617696049480907,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,-0.393828312185076,-0.5013693153022197,1149
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,-0.380414606894428,-0.4918918420478235,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,-0.37932461995225997,-0.4993763020560235,1149
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,-0.028479272823551997,-0.04109959193322759,1149
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,-0.026865751303995995,-0.042208206558571035,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,-0.022157351389338,-0.037258039979644664,1149
