overall_rank,amfi_code,scheme_name,fund_house,cagr_3yr_pct,sharpe_ratio,alpha_annual_pct,expense_ratio_pct,max_drawdown_pct,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense_ratio,rank_max_dd,fund_score
1,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-0.7672319440258146,-0.20583160785470306,2.8969397866379443,1.51,-28.00112356639287,92.5,90.0,100.0,61.25000000000001,87.5,88.19
2,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.2923525892154508,-0.20151706755966933,3.747580763443282,1.55,-24.734440880673304,87.5,87.5,97.5,80.0,85.0,88.12
3,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-11.703299329834216,-0.07597357117478937,4.801595363775955,1.38,-51.677753708526566,100.0,82.5,92.5,42.5,97.5,85.25
4,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,-4.151453816140693,0.16266076928646758,10.897091901704538,1.53,-35.44691649336603,97.5,70.0,67.5,71.25,95.0,80.44
5,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.5257668501786883,0.030784850954585913,6.899529821677549,1.64,-14.401617909337261,90.0,77.5,75.0,98.75,37.5,79.94
6,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-1.337083602283895,-0.05718662582818005,4.882421594553985,0.72,-52.57422117012851,95.0,80.0,90.0,13.750000000000002,100.0,78.56
7,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,7.75416750547262,0.07599984804658912,7.80443887615508,1.56,-24.003511326274886,70.0,75.0,72.5,82.5,82.5,74.88
8,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,3.9154793546847033,-0.5670947928476847,4.281792031506088,0.56,-4.308263824636349,85.0,97.5,95.0,5.0,10.0,70.62
9,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,6.314299292105274,-0.8155673679088286,6.086145795787115,0.79,-0.16224980244717857,77.5,100.0,82.5,27.500000000000004,7.5,69.62
10,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.838988442093762,-0.2265753866279158,5.620895216638369,0.77,-4.328728923970093,80.0,92.5,85.0,22.5,12.5,68.75
