amfi_code,max_drawdown_pct,peak_date,trough_date,drawdown_days,scheme_name,fund_house
119599,-52.57422117012851,2023-01-17,2025-10-28,1015,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
119095,-51.677753708526566,2025-05-22,2026-05-11,354,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
101207,-35.44691649336603,2024-11-21,2026-05-11,536,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
149324,-31.171900300634213,2024-05-03,2025-01-03,245,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
119598,-28.706005721764548,2024-08-28,2025-05-14,259,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
102886,-28.00112356639287,2025-01-07,2026-04-27,475,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
100016,-24.734440880673304,2022-03-30,2022-09-15,169,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
120842,-24.003511326274886,2023-11-09,2024-10-17,343,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
118634,-23.34488614483311,2025-04-09,2026-02-20,317,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
119093,-21.751396370148225,2022-02-24,2023-05-22,452,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
102887,-21.539827112383225,2022-01-03,2022-07-04,182,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
125498,-21.11727956013212,2025-04-04,2025-09-12,161,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
119094,-20.960883862039193,2022-04-14,2022-08-11,119,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
120506,-19.82565826298267,2023-03-31,2023-08-14,136,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
118633,-18.62974313859551,2023-10-30,2024-02-29,122,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
120505,-18.188513572116292,2024-10-24,2025-01-23,91,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120841,-17.57361416468729,2024-01-09,2025-02-14,402,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
118632,-17.41407508665723,2024-01-02,2024-07-19,199,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
149323,-17.24810575345138,2022-06-06,2022-10-24,140,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
148569,-16.39674294693263,2023-08-10,2023-10-20,71,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
100033,-16.217208574644847,2022-03-11,2022-05-12,62,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
148568,-15.27259422823477,2023-09-05,2024-01-24,141,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
125497,-15.200013055606398,2023-12-22,2025-01-01,376,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
119551,-15.012385498645331,2023-08-24,2024-02-05,165,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
149322,-14.844576917771747,2022-01-03,2022-02-04,32,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
119092,-14.401617909337261,2023-10-12,2025-02-07,484,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
120503,-13.897862823061635,2023-09-19,2023-11-09,51,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
120843,-12.97396816518679,2022-03-07,2022-04-13,37,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120504,-12.588275606922517,2022-10-04,2023-05-30,238,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
119552,-11.803493502764296,2024-05-21,2024-09-02,104,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
118635,-11.650624505409091,2022-01-03,2022-06-09,157,Nippon India ETF Nifty 50 BeES,Nippon India MF
101206,-11.291596329323072,2023-04-24,2023-07-05,72,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
148567,-11.265729075028275,2023-07-11,2023-10-20,101,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
102885,-10.85986215250232,2022-02-03,2022-03-29,54,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
118636,-8.316361763638703,2023-02-09,2024-02-09,365,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
119120,-4.328728923970093,2024-09-16,2025-04-01,197,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
100025,-4.308263824636349,2023-05-23,2023-07-28,66,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
101208,-0.16224980244717857,2023-09-05,2023-09-12,7,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
120844,-0.11629327956168556,2024-04-12,2024-04-30,18,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF
120507,-0.09773140045925555,2025-10-16,2025-10-20,4,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
