amfi_code,sharpe_ratio,scheme_name,fund_house,sharpe_rank
148567,1.4482911703262602,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1
120843,1.3067439695428407,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,2
148569,1.2349300257743299,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,3
119551,1.208266567372718,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,4
120505,1.1801011976606492,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,5
149323,1.1321218524747247,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,6
100033,1.0936987435346308,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,7
118632,1.0816591793457044,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,8
101206,1.0272133278753697,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,9
120504,1.0265242847993001,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,10
119094,0.9982309868636414,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,11
119552,0.9532794968660105,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,12
149324,0.9497958246616032,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,13
119598,0.9453082575156094,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,14
148568,0.9262873467360146,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,15
102885,0.8170993373494371,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,16
120503,0.7979728586052847,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,17
125497,0.7757902498211209,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,18
118635,0.664856998549062,Nippon India ETF Nifty 50 BeES,Nippon India MF,19
120506,0.6488787755249532,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,20
118633,0.6452074382933216,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,21
102887,0.6195175900829829,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,22
120507,0.49572339295331147,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,23
120841,0.4942725378672354,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,24
149322,0.4640374492204777,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,25
118634,0.44843400890899143,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,26
125498,0.3006119210425479,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,27
101207,0.16266076928646758,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,28
119093,0.1296144979566933,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,29
120842,0.07599984804658912,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,30
119092,0.030784850954585913,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,31
119599,-0.05718662582818005,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,32
119095,-0.07597357117478937,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,33
120844,-0.08874729621557495,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,34
100016,-0.20151706755966933,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,35
102886,-0.20583160785470306,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,36
119120,-0.2265753866279158,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,37
118636,-0.3566295075143679,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,38
100025,-0.5670947928476847,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,39
101208,-0.8155673679088286,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,40
