amfi_code,sortino_ratio,downside_days,scheme_name,fund_house,sortino_rank
148567,2.385644373368819,506,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1
120843,2.364320032166718,534,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,2
148569,2.146913926346056,545,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,3
119551,2.140267129061794,518,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,4
120505,2.0293529404657464,539,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,5
149323,1.8751010639192085,526,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,6
118632,1.8501325468557264,532,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,7
100033,1.8291339615146944,538,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,8
120504,1.8052937940992546,517,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,9
101206,1.7995628746984524,539,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,10
119094,1.7037974802463003,553,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,11
119598,1.6753165700125519,546,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,12
148568,1.6327409778735162,537,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,13
149324,1.6197931764914093,542,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,14
119552,1.6097764896283082,539,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,15
102885,1.4357420130649496,537,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,16
120503,1.3379431500669237,545,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,17
125497,1.3306512447571368,541,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,18
118633,1.154475716923624,552,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,19
118635,1.1379767187807421,552,Nippon India ETF Nifty 50 BeES,Nippon India MF,20
120506,1.0958951614736467,545,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,21
102887,1.0887552508030016,556,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,22
120507,1.0521238822609271,225,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,23
120841,0.8625738849916588,545,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,24
149322,0.7621288703723165,542,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,25
118634,0.7460146308533573,554,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,26
125498,0.5088128197169232,548,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,27
101207,0.2766437962609231,568,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,28
119093,0.2210868397927636,554,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,29
120842,0.12469346986475656,545,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,30
119092,0.05257398559304798,557,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,31
119599,-0.09438726129459621,567,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,32
119095,-0.12818559275851954,568,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,33
120844,-0.18772304774242665,263,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,34
102886,-0.3472223025472726,559,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,35
100016,-0.3510474601523089,579,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,36
119120,-0.3767670081706669,537,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,37
118636,-0.6135251287271025,550,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,38
100025,-0.9418212366054207,549,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,39
101208,-1.6810378667512855,261,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,40
