amfi_code,scheme_name,benchmark,tracking_error_pct
102886,UTI Mid Cap Fund - Regular - Growth,Nifty 50,22.69
102886,UTI Mid Cap Fund - Regular - Growth,Nifty 100,22.56
100016,HDFC Top 100 Fund - Regular Plan - Growth,Nifty 50,19.64
100016,HDFC Top 100 Fund - Regular Plan - Growth,Nifty 100,19.93
119095,Axis Small Cap Fund - Regular - Growth,Nifty 50,28.1
119095,Axis Small Cap Fund - Regular - Growth,Nifty 100,28.58
101207,ABSL Small Cap Fund - Regular - Growth,Nifty 50,29.17
101207,ABSL Small Cap Fund - Regular - Growth,Nifty 100,29.21
119092,Axis Bluechip Fund - Regular - Growth,Nifty 50,19.15
119092,Axis Bluechip Fund - Regular - Growth,Nifty 100,18.91
